key,name,category,legacy_line,price,disposition,geometry_policy,reason,conversion_status
custompath,Custom Elevated Path Engineer,paths,4359,,PRESERVE_CUSTOM_SYSTEM,protect,Custom elevated/path engineering is a protected authored system.,NOT_STARTED
path,Asphalt Path,paths,4360,20.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queue,Queue Path,paths,4361,28.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
stonepath,Stone Path,paths,4362,32.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
boardwalk,Boardwalk,paths,4363,38.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
brickpath,Brick Promenade,paths,4364,42.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
dirtpath,Frontier Trail,paths,4365,16.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
glowpath,Glow Path,paths,4366,65.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
sandpath,Sandstone Trail,paths,4367,48.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
slatepath,Slate Walk,paths,4368,58.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
gardenpath,Garden Walk,paths,4369,52.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
cobblepath,Cobblestone Lane,paths,4370,46.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
checkerpath,Checker Midway,paths,4371,44.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
neonpath,Neon Circuit,paths,4372,78.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
glasspath,Glass Skywalk,paths,4373,90.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
steelpath,Steel Catwalk,paths,4373,72.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
rubberpath,Rubber Funway,paths,4373,36.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
marblepath,Marble Plaza,paths,4373,75.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queueblue,Blue Queue,paths,4374,30.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queuered,Red Queue,paths,4374,30.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queuegreen,Green Queue,paths,4374,30.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queuewood,Wood Queue,paths,4374,34.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
queuevip,VIP Queue,paths,4374,55.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
crystalpath,Crystal Causeway,paths,4374,96.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
copperpath,Copper Promenade,paths,4374,84.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
mosaicpath,Mosaic Avenue,paths,4374,88.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
snowpath,Alpine Walk,paths,4374,54.0,PRESERVE_STYLE_REBUILD_SYSTEM,protect_style,Preserve paving/material identity; rebuild placement/navigation through clean path APIs.,NOT_STARTED
burger,Burger Stand,food,4376,150.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
pizza,Pizza Stall,food,4377,170.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
drink,Drink Stall,food,4378,110.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
icecream,Ice Cream Stall,food,4379,130.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
donutshop,Donut Shop,food,4380,340.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
tacostall,Taco Stall,food,4381,390.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
candyshop,Candy Shop,food,4382,360.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
balloonstall,Balloon Stall,food,4383,260.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
coffee,Coffee Lab,food,4383,190.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
popcorn,Popcorn Rocket,food,4383,160.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
pretzel,Pretzel Forge,food,4383,175.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
sushi,Sushi Pod,food,4383,310.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
smoothie,Smoothie Reactor,food,4383,220.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
fries,Fries Factory,food,4383,185.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
chicken,Chicken Shack,food,4383,260.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
souvenir,Souvenir Vault,food,4383,330.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
plush,Plush Palace,food,4383,290.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
photo,Photo Booth,food,4383,240.0,PRESERVE_DESIGN,protect,"Stalls/shops are a protected visual reference; preserve silhouettes, counters, signage and product identity.",NOT_STARTED
info,Information Kiosk,facilities,4385,180.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
infokiosk,Map Kiosk,facilities,4386,,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
umbrellakiosk,Umbrella Kiosk,facilities,4387,,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
restroom,Restroom,facilities,4388,,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
arcade,Midway Arcade,facilities,4389,320.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
deluxetoilet,Deluxe Restroom,facilities,4389,420.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
familycare,Family Care Center,facilities,4389,720.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
charging,Phone Charging Hub,facilities,4389,280.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
waterstation,Water Refill Station,facilities,4389,150.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
lostfound,Lost & Found,facilities,4389,260.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
parkoffice,Park Services Office,facilities,4389,850.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
securitypost,Security Post,facilities,4389,560.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
clinic,Park Clinic,facilities,4389,1100.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
cashoffice,Cash Office,facilities,4389,900.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
transporthub,Transport Hub,facilities,4389,1300.0,PRESERVE_FEATURE_REVIEW_ART,review,Facility behavior is mandatory; art is retained when scale/readability remain strong.,NOT_STARTED
bench,Path Bench Pair,scenery,4391,45.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
lamp,Lamp Post,scenery,4392,35.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
tree,Pine Tree,scenery,4393,30.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
fountain,Fountain,scenery,4394,140.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
flowerbed,Flower Bed,scenery,4395,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
hedge,Trimmed Hedge,scenery,4396,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
statue,Frontier Statue,scenery,4397,180.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
rockgarden,Rock Garden,scenery,4398,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
gazebo,Park Gazebo,scenery,4399,260.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
archway,Decorative Arch,scenery,4400,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
flagpole,Park Flagpole,scenery,4401,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
planter,Large Planter,scenery,4402,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
topiary,Topiary,scenery,4403,135.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
campfire,Campfire,scenery,4404,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
waterfall,Decorative Waterfall,scenery,4405,320.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
pond,Garden Pond,scenery,4406,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
clock,Park Clock,scenery,4407,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
banner,Festival Banner,scenery,4408,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
marquee,Scrolling Path Marquee,scenery,4408,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
speaker,Music Speaker,scenery,4409,,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
rosearch,Rose Arch,scenery,4409,95.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
neontree,Neon Tree,scenery,4409,120.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
fireflies,Firefly Grove,scenery,4409,145.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
clocktower,Mini Clock Tower,scenery,4409,240.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
laserflower,Laser Flowers,scenery,4409,110.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
kineticsculpture,Kinetic Sculpture,scenery,4409,210.0,PRESERVE_DESIGN_AND_ANIMATION,protect,"Protected scenery reference: preserve geometry, materials, silhouette, scale, and all authored animation/effect behavior such as fountains, kinetic motion, lighting modulation, particles, wildlife/ambient motion, and interaction state.",NOT_STARTED
